Credit_Mix,Payment_Behaviour,dias_atraso,divida_restante,utiliza_cartao_credito,idade,alteracao_limite_credito,tempo_credito,investimento_mensal,saldo_mensal,Credit_Score
2,3.0,1.0,7.0,1.0,1.0,3.0,4.0,3.0,4.0,Good
1,2.0,2.0,6.0,1.0,2.0,3.0,4.0,0.0,0.0,Good
1,4.0,3.0,2.0,1.0,2.0,5.0,5.0,0.0,0.0,Good
2,5.0,1.0,6.0,0.0,1.0,3.0,5.0,0.0,5.0,Good
2,3.0,3.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,Good
2,2.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,6.0,Good
2,5.0,1.0,0.0,3.0,2.0,5.0,3.0,4.0,6.0,Good
2,1.0,1.0,6.0,2.0,2.0,1.0,3.0,1.0,6.0,Good
1,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,Good
2,5.0,1.0,6.0,3.0,4.0,1.0,5.0,1.0,3.0,Good
2,3.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,Good
1,1.0,2.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,Good
2,3.0,3.0,6.0,3.0,4.0,3.0,4.0,3.0,2.0,Good
2,3.0,3.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,Good
2,4.0,3.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,Good
1,0.0,3.0,2.0,4.0,2.0,1.0,0.0,4.0,6.0,Good
1,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,Good
1,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,Good
2,4.0,5.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,Good
2,2.0,1.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,Good
2,1.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,5.0,Good
1,5.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,5.0,Good
2,4.0,3.0,6.0,3.0,5.0,5.0,3.0,0.0,6.0,Good
2,2.0,3.0,7.0,3.0,0.0,5.0,5.0,2.0,6.0,Good
1,3.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,4.0,Good
1,3.0,3.0,7.0,3.0,2.0,5.0,1.0,1.0,4.0,Good
1,1.0,2.0,2.0,0.0,2.0,3.0,3.0,4.0,6.0,Good
1,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,Good
2,3.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,Good
2,3.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,Good
2,5.0,3.0,7.0,4.0,5.0,3.0,3.0,1.0,6.0,Good
